# Fermi Energy: 3.25775420 eV
Energy,DOS
-132.93810000,0.00000000
-132.43970000,0.00000000
-131.94120000,0.00000000
-131.44280000,0.00000000
-130.94440000,0.00000000
-130.44590000,0.00000000
-129.94750000,0.00000000
-129.44910000,0.00000000
-128.95070000,0.00000000
-128.45220000,0.00000000
-127.95380000,0.00000000
-127.45540000,0.00000000
-126.95690000,0.00000000
-126.45850000,0.00000000
-125.96010000,16.05040000
-125.46170000,0.00000000
-124.96320000,0.00000000
-124.46480000,0.00000000
-123.96640000,0.00000000
-123.46790000,0.00000000
-122.96950000,0.00000000
-122.47110000,0.00000000
-121.97260000,0.00000000
-121.47420000,0.00000000
-120.97580000,0.00000000
-120.47740000,0.00000000
-119.97890000,0.00000000
-119.48050000,0.00000000
-118.98210000,0.00000000
-118.48360000,0.00000000
-117.98520000,0.00000000
-117.48680000,0.00000000
-116.98840000,0.00000000
-116.48990000,0.00000000
-115.99150000,0.00000000
-115.49310000,0.00000000
-114.99460000,0.00000000
-114.49620000,0.00000000
-113.99780000,0.00000000
-113.49930000,0.00000000
-113.00090000,0.00000000
-112.50250000,0.00000000
-112.00410000,0.00000000
-111.50560000,0.00000000
-111.00720000,0.00000000
-110.50880000,0.00000000
-110.01030000,0.00000000
-109.51190000,0.00000000
-109.01350000,0.00000000
-108.51510000,0.00000000
-108.01660000,0.00000000
-107.51820000,0.00000000
-107.01980000,0.00000000
-106.52130000,0.00000000
-106.02290000,0.00000000
-105.52450000,0.00000000
-105.02600000,0.00000000
-104.52760000,0.00000000
-104.02920000,0.00000000
-103.53080000,0.00000000
-103.03230000,0.00000000
-102.53390000,0.00000000
-102.03550000,0.00000000
-101.53700000,0.00000000
-101.03860000,0.00000000
-100.54020000,0.00000000
-100.04180000,0.00000000
-99.54330000,0.00000000
-99.04490000,0.00000000
-98.54650000,0.00000000
-98.04800000,0.00000000
-97.54960000,0.00000000
-97.05120000,0.00000000
-96.55270000,0.00000000
-96.05430000,0.00000000
-95.55590000,0.00000000
-95.05750000,0.00000000
-94.55900000,0.00000000
-94.06060000,0.00000000
-93.56220000,0.00000000
-93.06370000,0.00000000
-92.56530000,0.00000000
-92.06690000,0.00000000
-91.56850000,0.00000000
-91.07000000,0.00000000
-90.57160000,0.00000000
-90.07320000,0.00000000
-89.57470000,0.00000000
-89.07630000,0.00000000
-88.57790000,0.00000000
-88.07940000,0.00000000
-87.58100000,0.00000000
-87.08260000,0.00000000
-86.58420000,16.05040000
-86.08570000,0.00000000
-85.58730000,0.00000000
-85.08890000,0.00000000
-84.59040000,0.00000000
-84.09200000,0.00000000
-83.59360000,0.00000000
-83.09510000,0.00000000
-82.59670000,0.00000000
-82.09830000,0.00000000
-81.59990000,0.00000000
-81.10140000,0.00000000
-80.60300000,0.00000000
-80.10460000,0.00000000
-79.60610000,11.10240000
-79.10770000,0.00000000
-78.60930000,0.00000000
-78.11090000,0.00000000
-77.61240000,0.00000000
-77.11400000,0.00000000
-76.61560000,0.00000000
-76.11710000,0.00000000
-75.61870000,0.00000000
-75.12030000,0.00000000
-74.62180000,0.00000000
-74.12340000,0.00000000
-73.62500000,0.00000000
-73.12660000,0.00000000
-72.62810000,0.00000000
-72.12970000,0.00000000
-71.63130000,0.00000000
-71.13280000,0.00000000
-70.63440000,0.00000000
-70.13600000,0.00000000
-69.63760000,0.00000000
-69.13910000,0.00000000
-68.64070000,0.00000000
-68.14230000,0.00000000
-67.64380000,0.00000000
-67.14540000,0.00000000
-66.64700000,0.00000000
-66.14850000,0.00000000
-65.65010000,0.00000000
-65.15170000,0.00000000
-64.65330000,0.00000000
-64.15480000,0.00000000
-63.65640000,0.00000000
-63.15800000,0.00000000
-62.65950000,0.00000000
-62.16110000,0.00000000
-61.66270000,0.00000000
-61.16430000,0.00000000
-60.66580000,0.00000000
-60.16740000,0.00000000
-59.66900000,0.00000000
-59.17050000,0.00000000
-58.67210000,0.00000000
-58.17370000,0.00000000
-57.67520000,0.00000000
-57.17680000,0.00000000
-56.67840000,0.00000000
-56.18000000,0.00000000
-55.68150000,0.00000000
-55.18310000,0.00000000
-54.68470000,0.00000000
-54.18620000,0.00000000
-53.68780000,0.00000000
-53.18940000,0.00000000
-52.69100000,0.00000000
-52.19250000,0.00000000
-51.69410000,0.00000000
-51.19570000,0.00000000
-50.69720000,0.00000000
-50.19880000,0.00000000
-49.70040000,0.00000000
-49.20190000,0.00000000
-48.70350000,0.00000000
-48.20510000,0.00000000
-47.70670000,0.00000000
-47.20820000,0.00000000
-46.70980000,0.00000000
-46.21140000,0.00000000
-45.71290000,0.00000000
-45.21450000,0.00000000
-44.71610000,0.00000000
-44.21770000,0.00000000
-43.71920000,0.00000000
-43.22080000,0.00000000
-42.72240000,0.00000000
-42.22390000,0.00000000
-41.72550000,0.00000000
-41.22710000,0.00000000
-40.72860000,0.00000000
-40.23020000,0.00000000
-39.73180000,0.00000000
-39.23340000,0.00000000
-38.73490000,0.00000000
-38.23650000,0.00000000
-37.73810000,0.00000000
-37.23960000,0.00000000
-36.74120000,0.00000000
-36.24280000,0.00000000
-35.74440000,0.00000000
-35.24590000,0.00000000
-34.74750000,0.00000000
-34.24910000,0.00000000
-33.75060000,0.00000000
-33.25220000,0.00000000
-32.75380000,0.00000000
-32.25530000,0.00000000
-31.75690000,0.00000000
-31.25850000,0.00000000
-30.76010000,0.00000000
-30.26160000,0.00000000
-29.76320000,0.00000000
-29.26480000,0.00000000
-28.76630000,0.00000000
-28.26790000,0.00000000
-27.76950000,0.00000000
-27.27110000,0.00000000
-26.77260000,0.00000000
-26.27420000,0.00000000
-25.77580000,0.00000000
-25.27730000,0.00000000
-24.77890000,0.00000000
-24.28050000,0.00000000
-23.78200000,0.00000000
-23.28360000,0.00000000
-22.78520000,0.00000000
-22.28680000,0.00000000
-21.78830000,0.00000000
-21.28990000,0.00000000
-20.79150000,0.00000000
-20.29300000,0.00000000
-19.79460000,0.00000000
-19.29620000,0.00000000
-18.79770000,16.05610000
-18.29930000,0.00000000
-17.80090000,7.60760000
-17.30250000,0.00000000
-16.80400000,0.00000000
-16.30560000,0.00000000
-15.80720000,0.00000000
-15.30870000,0.00000000
-14.81030000,0.00000000
-14.31190000,0.00000000
-13.81350000,0.00000000
-13.31500000,0.00000000
-12.81660000,0.00000000
-12.31820000,0.00000000
-11.81970000,0.00000000
-11.32130000,0.00000000
-10.82290000,0.00000000
-10.32440000,1.27090000
-9.82600000,1.47000000
-9.32760000,4.72360000
-8.82920000,4.17240000
-8.33070000,0.00000000
-7.83230000,0.00000000
-7.33390000,0.00000000
-6.83540000,0.00000000
-6.33700000,0.00000000
-5.83860000,0.00000000
-5.34020000,0.00000000
-4.84170000,0.22240000
-4.34330000,1.64900000
-3.84490000,4.82280000
-3.34640000,4.40330000
-2.84800000,0.53720000
-2.34960000,0.49970000
-1.85110000,0.82400000
-1.35270000,2.43120000
-0.85430000,2.85950000
-0.35590000,4.02610000
0.14260000,6.50350000
0.64100000,4.89750000
1.13940000,8.06890000
1.63790000,2.24610000
2.13630000,4.18470000
2.63470000,4.15010000
3.13310000,0.42130000
3.63160000,0.00000000
4.13000000,0.17040000
4.62840000,3.11550000
5.12690000,3.06110000
5.62530000,3.39530000
6.12370000,7.14200000
6.62220000,5.31110000
7.12060000,4.07450000
7.61900000,5.48850000
8.11740000,2.32870000
8.61590000,4.30210000
9.11430000,4.29910000
9.61270000,2.36610000
10.11120000,0.02010000
10.60960000,0.00000000
11.10800000,0.00000000
11.60640000,0.00000000
12.10490000,0.00000000
12.60330000,0.00000000
13.10170000,0.00000000
13.60020000,0.00000000
14.09860000,0.00000000
14.59700000,0.00000000
15.09550000,0.00000000
15.59390000,0.00000000
16.09230000,0.00000000
16.59070000,0.00000000
