Density of States Data
========================================
Fermi Energy: 3.257754 eV
Number of points: 301

Energy (eV)    Energy-EF (eV)    DOS (states/eV)
  -46.709800      -49.967554        0.000000
  -46.211400      -49.469154        0.000000
  -45.712900      -48.970654        0.000000
  -45.214500      -48.472254        0.000000
  -44.716100      -47.973854        0.000000
  -44.217700      -47.475454        0.000000
  -43.719200      -46.976954        0.000000
  -43.220800      -46.478554        0.000000
  -42.722400      -45.980154        0.000000
  -42.223900      -45.481654        0.000000
  -41.725500      -44.983254        0.000000
  -41.227100      -44.484854        0.000000
  -40.728600      -43.986354        0.000000
  -40.230200      -43.487954        0.000000
  -39.731800      -42.989554        0.000000
  -39.233400      -42.491154        0.000000
  -38.734900      -41.992654        0.000000
  -38.236500      -41.494254        0.000000
  -37.738100      -40.995854        0.000000
  -37.239600      -40.497354        0.000000
  -36.741200      -39.998954        0.000000
  -36.242800      -39.500554        0.000000
  -35.744400      -39.002154        0.000000
  -35.245900      -38.503654        0.000000
  -34.747500      -38.005254        0.000000
  -34.249100      -37.506854        0.000000
  -33.750600      -37.008354        0.000000
  -33.252200      -36.509954        0.000000
  -32.753800      -36.011554        0.000000
  -32.255300      -35.513054        0.000000
  -31.756900      -35.014654        0.000000
  -31.258500      -34.516254        0.000000
  -30.760100      -34.017854        0.000000
  -30.261600      -33.519354        0.000000
  -29.763200      -33.020954        0.000000
  -29.264800      -32.522554        0.000000
  -28.766300      -32.024054        0.000000
  -28.267900      -31.525654        0.000000
  -27.769500      -31.027254        0.000000
  -27.271100      -30.528854        0.000000
  -26.772600      -30.030354        0.000000
  -26.274200      -29.531954        0.000000
  -25.775800      -29.033554        0.000000
  -25.277300      -28.535054        0.000000
  -24.778900      -28.036654        0.000000
  -24.280500      -27.538254        0.000000
  -23.782000      -27.039754        0.000000
  -23.283600      -26.541354        0.000000
  -22.785200      -26.042954        0.000000
  -22.286800      -25.544554        0.000000
  -21.788300      -25.046054        0.000000
  -21.289900      -24.547654        0.000000
  -20.791500      -24.049254        0.000000
  -20.293000      -23.550754        0.000000
  -19.794600      -23.052354        0.000000
  -19.296200      -22.553954        0.000000
  -18.797700      -22.055454       16.056100
  -18.299300      -21.557054        0.000000
  -17.800900      -21.058654        7.607600
  -17.302500      -20.560254        0.000000
  -16.804000      -20.061754        0.000000
  -16.305600      -19.563354        0.000000
  -15.807200      -19.064954        0.000000
  -15.308700      -18.566454        0.000000
  -14.810300      -18.068054        0.000000
  -14.311900      -17.569654        0.000000
  -13.813500      -17.071254        0.000000
  -13.315000      -16.572754        0.000000
  -12.816600      -16.074354        0.000000
  -12.318200      -15.575954        0.000000
  -11.819700      -15.077454        0.000000
  -11.321300      -14.579054        0.000000
  -10.822900      -14.080654        0.000000
  -10.324400      -13.582154        1.270900
   -9.826000      -13.083754        1.470000
   -9.327600      -12.585354        4.723600
   -8.829200      -12.086954        4.172400
   -8.330700      -11.588454        0.000000
   -7.832300      -11.090054        0.000000
   -7.333900      -10.591654        0.000000
   -6.835400      -10.093154        0.000000
   -6.337000       -9.594754        0.000000
   -5.838600       -9.096354        0.000000
   -5.340200       -8.597954        0.000000
   -4.841700       -8.099454        0.222400
   -4.343300       -7.601054        1.649000
   -3.844900       -7.102654        4.822800
   -3.346400       -6.604154        4.403300
   -2.848000       -6.105754        0.537200
   -2.349600       -5.607354        0.499700
   -1.851100       -5.108854        0.824000
   -1.352700       -4.610454        2.431200
   -0.854300       -4.112054        2.859500
   -0.355900       -3.613654        4.026100
    0.142600       -3.115154        6.503500
    0.641000       -2.616754        4.897500
    1.139400       -2.118354        8.068900
    1.637900       -1.619854        2.246100
    2.136300       -1.121454        4.184700
    2.634700       -0.623054        4.150100
    3.133100       -0.124654        0.421300
    3.631600        0.373846        0.000000
    4.130000        0.872246        0.170400
    4.628400        1.370646        3.115500
    5.126900        1.869146        3.061100
    5.625300        2.367546        3.395300
    6.123700        2.865946        7.142000
    6.622200        3.364446        5.311100
    7.120600        3.862846        4.074500
    7.619000        4.361246        5.488500
    8.117400        4.859646        2.328700
    8.615900        5.358146        4.302100
    9.114300        5.856546        4.299100
    9.612700        6.354946        2.366100
   10.111200        6.853446        0.020100
   10.609600        7.351846        0.000000
   11.108000        7.850246        0.000000
   11.606400        8.348646        0.000000
   12.104900        8.847146        0.000000
   12.603300        9.345546        0.000000
   13.101700        9.843946        0.000000
   13.600200       10.342446        0.000000
   14.098600       10.840846        0.000000
   14.597000       11.339246        0.000000
   15.095500       11.837746        0.000000
   15.593900       12.336146        0.000000
   16.092300       12.834546        0.000000
   16.590700       13.332946        0.000000
