Bond Lengths and Angles Analysis
==================================================

BOND LENGTHS (Å):
--------------------
Bond           Step1     Average   StdDev    Final     
Sn3-Sn4-S7          34.24     34.24     0.00      34.24     
Sn3-Sn4-S8          33.50     33.50     0.00      33.50     
S5-Sn4-S6           95.18     95.18     0.00      95.18     
S5-Sn4-S7           106.46    106.46    0.00      106.46    
S5-Sn4-S8           64.24     64.24     0.00      64.24     
S6-Sn4-S7           28.40     28.40     0.00      28.40     
S6-Sn4-S8           41.09     41.09     0.00      41.09     
S7-Sn4-S8           67.74     67.74     0.00      67.74     
Sn1-S5-Sn2          46.31     46.31     0.00      46.31     
Sn1-S5-Sn3          28.02     28.02     0.00      28.02     
Sn1-S5-Sn4          88.13     88.13     0.00      88.13     
Sn1-S5-S6           30.67     30.67     0.00      30.67     
Sn1-S5-S7           59.27     59.27     0.00      59.27     
Sn1-S5-S8           10.06     10.06     0.00      10.06     
Sn2-S5-Sn3          21.85     21.85     0.00      21.85     
Sn2-S5-Sn4          68.83     68.83     0.00      68.83     
Sn2-S5-S6           15.64     15.64     0.00      15.64     
Sn2-S5-S7           14.60     14.60     0.00      14.60     
Sn2-S5-S8           51.61     51.61     0.00      51.61     
Sn3-S5-Sn4          84.82     84.82     0.00      84.82     
Sn3-S5-S6           10.30     10.30     0.00      10.30     
Sn3-S5-S7           36.43     36.43     0.00      36.43     
Sn3-S5-S8           30.85     30.85     0.00      30.85     
Sn4-S5-S6           74.52     74.52     0.00      74.52     
Sn4-S5-S7           58.22     58.22     0.00      58.22     
Sn4-S5-S8           98.18     98.18     0.00      98.18     
S6-S5-S7            29.18     29.18     0.00      29.18     
S6-S5-S8            36.37     36.37     0.00      36.37     
S7-S5-S8            65.54     65.54     0.00      65.54     
Sn1-S6-Sn2          46.31     46.31     0.00      46.31     
Sn1-S6-Sn3          68.84     68.84     0.00      68.84     
Sn1-S6-Sn4          21.85     21.85     0.00      21.85     
Sn1-S6-S5           15.64     15.64     0.00      15.64     
Sn1-S6-S7           51.61     51.61     0.00      51.61     
Sn1-S6-S8           14.60     14.60     0.00      14.60     
Sn2-S6-Sn3          88.14     88.14     0.00      88.14     
Sn2-S6-Sn4          28.02     28.02     0.00      28.02     
Sn2-S6-S5           30.67     30.67     0.00      30.67     
Sn2-S6-S7           10.05     10.05     0.00      10.05     
Sn2-S6-S8           59.28     59.28     0.00      59.28     
Sn3-S6-Sn4          84.83     84.83     0.00      84.83     
Sn3-S6-S5           74.53     74.53     0.00      74.53     
Sn3-S6-S7           98.19     98.19     0.00      98.19     
Sn3-S6-S8           58.22     58.22     0.00      58.22     
Sn4-S6-S5           10.30     10.30     0.00      10.30     
Sn4-S6-S7           30.85     30.85     0.00      30.85     
Sn4-S6-S8           36.43     36.43     0.00      36.43     
S5-S6-S7            36.37     36.37     0.00      36.37     
S5-S6-S8            29.18     29.18     0.00      29.18     
S7-S6-S8            65.55     65.55     0.00      65.55     
Sn1-S7-Sn2          68.43     68.43     0.00      68.43     
Sn1-S7-Sn3          70.26     70.26     0.00      70.26     
Sn1-S7-Sn4          42.02     42.02     0.00      42.02     
Sn1-S7-S5           34.82     34.82     0.00      34.82     
Sn1-S7-S6           80.00     80.00     0.00      80.00     
Sn1-S7-S8           14.97     14.97     0.00      14.97     
Sn2-S7-Sn3          3.56      3.56      0.00      3.56      
Sn2-S7-Sn4          110.32    110.32    0.00      110.32    
Sn2-S7-S5           99.96     99.96     0.00      99.96     
Sn2-S7-S6           21.13     21.13     0.00      21.13     
Sn2-S7-S8           53.46     53.46     0.00      53.46     
Sn3-S7-Sn4          112.26    112.26    0.00      112.26    
Sn3-S7-S5           102.48    102.48    0.00      102.48    
Sn3-S7-S6           17.57     17.57     0.00      17.57     
Sn3-S7-S8           55.32     55.32     0.00      55.32     
Sn4-S7-S5           15.33     15.33     0.00      15.33     
Sn4-S7-S6           120.75    120.75    0.00      120.75    
Sn4-S7-S8           56.95     56.95     0.00      56.95     
S5-S7-S6            114.45    114.45    0.00      114.45    
S5-S7-S8            48.60     48.60     0.00      48.60     
S6-S7-S8            65.85     65.85     0.00      65.85     
Sn1-S8-Sn2          68.43     68.43     0.00      68.43     
Sn1-S8-Sn3          110.31    110.31    0.00      110.31    
Sn1-S8-Sn4          3.56      3.56      0.00      3.56      
Sn1-S8-S5           21.14     21.14     0.00      21.14     
Sn1-S8-S6           99.95     99.95     0.00      99.95     
Sn1-S8-S7           53.45     53.45     0.00      53.45     
Sn2-S8-Sn3          42.01     42.01     0.00      42.01     
Sn2-S8-Sn4          70.26     70.26     0.00      70.26     
Sn2-S8-S5           80.00     80.00     0.00      80.00     
Sn2-S8-S6           34.82     34.82     0.00      34.82     
Sn2-S8-S7           14.97     14.97     0.00      14.97     
Sn3-S8-Sn4          112.26    112.26    0.00      112.26    
Sn3-S8-S5           120.75    120.75    0.00      120.75    
Sn3-S8-S6           15.32     15.32     0.00      15.32     
Sn3-S8-S7           56.95     56.95     0.00      56.95     
Sn4-S8-S5           17.57     17.57     0.00      17.57     
Sn4-S8-S6           102.47    102.47    0.00      102.47    
Sn4-S8-S7           55.31     55.31     0.00      55.31     
S5-S8-S6            114.45    114.45    0.00      114.45    
S5-S8-S7            65.85     65.85     0.00      65.85     
S6-S8-S7            48.60     48.60     0.00      48.60     
